"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",0.9999
"11",1
"12",1
"13",1
"14",1
"15",1
"16",0.9999
"17",1
"18",1
"19",1
"20",1
"21",1
"22",0.9999
"23",0.9999
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",0.9998
"33",0.9998
"34",0.9999
"35",0.9996
"36",1
"37",0.9999
"38",0.9998
"39",0.9998
"40",0.9998
"41",0.9999
"42",0.9997
"43",0.9999
"44",0.9997
"45",0.9998
"46",0.9999
"47",0.9996
"48",0.9998
"49",0.9999
"50",0.9999
"51",0.9998
"52",0.9999
"53",0.9998
"54",0.9997
"55",0.9996
"56",0.9995
"57",0.9999
"58",0.9997
"59",0.9994
"60",0.9998
"61",0.9993
"62",0.9997
"63",0.9992
"64",0.9991
"65",0.9994
"66",0.9998
"67",0.9994
"68",0.9992
"69",0.9999
"70",0.9996
"71",0.9993
"72",0.9991
"73",0.9996
"74",0.9992
"75",0.9995
"76",0.9993
"77",0.9994
"78",0.9991
"79",0.9994
"80",0.9993
"81",0.9992
"82",0.9987
"83",0.9996
"84",0.9991
"85",0.9988
"86",0.9993
"87",0.9989
"88",0.9992
"89",0.9992
"90",0.9991
"91",0.9988
"92",0.9983
"93",0.9986
"94",0.9987
"95",0.9981
"96",0.9989
"97",0.9982
"98",0.9983
"99",0.9984
"100",0.9982
"101",0.9984
"102",0.9979
"103",0.9974
"104",0.9978
"105",0.9977
"106",0.998
"107",0.9977
"108",0.9968
"109",0.997
"110",0.9973
"111",0.9982
"112",0.9978
"113",0.9978
"114",0.997
"115",0.9972
"116",0.9962
"117",0.9963
"118",0.9963
"119",0.9966
"120",0.997
"121",0.9971
"122",0.9959
"123",0.9961
"124",0.9952
"125",0.9971
"126",0.9961
"127",0.9959
"128",0.9956
"129",0.9952
"130",0.9958
"131",0.9942
"132",0.9946
"133",0.9945
"134",0.9959
"135",0.9954
"136",0.9954
"137",0.9937
"138",0.9933
"139",0.9933
"140",0.9931
"141",0.994
"142",0.9942
"143",0.9928
"144",0.9949
"145",0.9939
"146",0.9921
"147",0.9925
"148",0.9926
"149",0.9923
"150",0.9916
"151",0.9934
"152",0.9922
"153",0.9902
"154",0.9902
"155",0.9916
"156",0.9906
"157",0.9906
"158",0.9893
"159",0.9893
"160",0.9891
"161",0.9898
"162",0.9901
"163",0.9893
"164",0.9879
"165",0.9906
"166",0.9867
"167",0.9889
"168",0.9886
"169",0.9869
"170",0.9861
"171",0.9858
"172",0.9872
"173",0.9876
"174",0.9868
"175",0.986
"176",0.9853
"177",0.983
"178",0.9845
"179",0.9838
"180",0.9842
"181",0.9854
"182",0.9836
"183",0.9824
"184",0.981
"185",0.9813
"186",0.9806
"187",0.9802
"188",0.9789
"189",0.9778
"190",0.9775
"191",0.9767
"192",0.9798
"193",0.9778
"194",0.9769
"195",0.9773
"196",0.9755
"197",0.9782
"198",0.9747
"199",0.9767
"200",0.9727
"201",0.9741
"202",0.9741
"203",0.9751
"204",0.9733
"205",0.9728
"206",0.9739
"207",0.9689
"208",0.9688
"209",0.9704
"210",0.9691
"211",0.9685
"212",0.9706
"213",0.9691
"214",0.9674
"215",0.9675
"216",0.9666
"217",0.963
"218",0.9642
"219",0.9649
"220",0.9615
"221",0.9647
"222",0.9637
"223",0.9634
"224",0.9621
"225",0.9627
"226",0.9582
"227",0.9617
"228",0.9589
"229",0.9594
"230",0.9565
"231",0.9548
"232",0.959
"233",0.9563
"234",0.9573
"235",0.9514
"236",0.9533
"237",0.9529
"238",0.9501
"239",0.9529
"240",0.9463
"241",0.944
"242",0.9518
"243",0.9466
"244",0.9453
"245",0.946
"246",0.9446
"247",0.9424
"248",0.9377
"249",0.9455
"250",0.9388
"251",0.9411
"252",0.9384
"253",0.9417
"254",0.9412
"255",0.9356
"256",0.9349
"257",0.9337
"258",0.9374
"259",0.931
"260",0.9305
"261",0.9326
"262",0.9319
"263",0.927
"264",0.9267
"265",0.9286
"266",0.9215
"267",0.9203
"268",0.9195
"269",0.9216
"270",0.9188
"271",0.9204
"272",0.9178
"273",0.9185
"274",0.9196
"275",0.917
"276",0.9139
"277",0.9114
"278",0.9083
"279",0.9089
"280",0.914
"281",0.9053
"282",0.9035
"283",0.9072
"284",0.9094
"285",0.9057
"286",0.8989
"287",0.9065
"288",0.8997
"289",0.8907
"290",0.8975
"291",0.8997
"292",0.8954
"293",0.8939
"294",0.8933
"295",0.8968
"296",0.8814
"297",0.8895
"298",0.8877
"299",0.8937
"300",0.8881
"301",0.8834
"302",0.8855
"303",0.888
"304",0.8767
"305",0.8775
"306",0.88
"307",0.874
"308",0.8695
"309",0.874
"310",0.876
"311",0.8769
"312",0.8687
"313",0.8714
"314",0.8625
